App,Category,Genre,Rating,Reviews,Installs,Size_KB,Type,Price,Content Rating,Last Updated,Current Ver,Android_Min_Version,App_apple,Rating_apple,Reviews_apple,Price_apple,Developer_apple,Match_Score,Source
350 Diy Room Decor Ideas,ART_AND_DESIGN,Art & Design,4.5,27,10000.0,17408.0,Free,0.0,Everyone,2017-11-07,1.0,2.3,Decor Match,4.90121,67672.0,0.0,ZenLife Games Pte. Ltd.,62.5,both
FlipaClip - Cartoon animation,ART_AND_DESIGN,Art & Design,4.3,194216,5000000.0,39936.0,Free,0.0,Everyone,2018-08-03,2.2.5,4.0,FlipaClip: Create 2D Animation,4.61947,219350.0,0.0,Visual Blasters LLC,82.6086956521739,both
ibis Paint X,ART_AND_DESIGN,Art & Design,4.6,224399,10000000.0,31744.0,Free,0.0,Everyone,2018-07-30,5.5.4,4.1,ibis Paint X,4.70317,250800.0,0.0,ibis inc.,100.0,both
Logo Maker - Small Business,ART_AND_DESIGN,Art & Design,4.0,450,100000.0,14336.0,Free,0.0,Everyone,2018-04-20,4.0,4.1,Logo Maker King: Creator,4.63086,810.0,0.0,"Green Gables Studio, LLC",60.60606060606061,both
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,Art & Design,4.1,654,100000.0,12288.0,Free,0.0,Everyone,2018-03-20,1.1,4.0,Body Tune for Men－Photo Editor,4.62005,858.0,0.0,Anzhela Starkova,69.56521739130434,both
Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,Art & Design,4.7,7699,500000.0,4300.8,Free,0.0,Everyone 10+,2018-07-12,2.2.6.2,4.0,Wallpapers & Backgrounds Live Maker for Your Home Screen,4.08497,306.0,0.0,MULIAN LI,74.57627118644068,both
Mcqueen Coloring pages,ART_AND_DESIGN,Art & Design,,61,100000.0,7168.0,Free,0.0,Everyone,2018-03-07,1.0.0,4.1,,,,,,33.33333333333333,google-only
HD Mickey Minnie Wallpapers,ART_AND_DESIGN,Art & Design,4.7,118,50000.0,23552.0,Free,0.0,Everyone,2018-07-07,1.1.3,4.1,Wallpapers・Live Background HD,4.53414,1069.0,0.0,Ilia Makhmudov,67.85714285714286,both
Harley Quinn wallpapers HD,ART_AND_DESIGN,Art & Design,4.8,192,10000.0,6144.0,Free,0.0,Everyone,2018-04-25,1.5,3.0,HD Wallpapers For Harley Quinn Edition,3.87264,212.0,0.0,Jadeja Falguni,100.0,both
Colorfit - Drawing & Coloring,ART_AND_DESIGN,Art & Design,4.7,20260,500000.0,25600.0,Free,0.0,Everyone,2017-10-11,1.0.8,4.0,,,,,,33.33333333333333,google-only
Animated Photo Editor,ART_AND_DESIGN,Art & Design,4.1,203,100000.0,6246.4,Free,0.0,Everyone,2018-03-21,1.03,4.0,,,,,,36.36363636363636,google-only
Pencil Sketch Drawing,ART_AND_DESIGN,Art & Design,3.9,136,10000.0,4710.4,Free,0.0,Everyone,2018-07-12,6.0,2.3,Photo To Sketch - Drawing book,4.15543,11626.0,0.0,pixel force private limited,80.0,both
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,Art & Design,4.1,223,100000.0,4300.8,Free,0.0,Everyone,2017-08-22,1.0,2.3,Drawing ▫,4.08262,14463.0,0.0,Vora Bhavik,100.0,both
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,Art & Design,4.2,1120,100000.0,9420.8,Free,0.0,Everyone,2018-07-12,6.7.12.2018,4.0,KeyPro – Keyboard Themes Fonts,4.2,8685.0,0.0,Milica Petrovic,68.9655172413793,both
Art Drawing Ideas,ART_AND_DESIGN,Art & Design,4.1,227,50000.0,5324.8,Free,0.0,Everyone,2018-05-31,1.2,2.3,Drawing ▫,4.08262,14463.0,0.0,Vora Bhavik,100.0,both
Anime Manga Coloring Book,ART_AND_DESIGN,Art & Design,4.5,5035,100000.0,11264.0,Free,0.0,Everyone,2018-07-19,2.20,4.0,Anime & Manga Coloring Book,4.57552,6309.0,0.0,Taoufik Kikis,100.0,both
Easy Origami Ideas,ART_AND_DESIGN,Art & Design,4.2,1015,100000.0,11264.0,Free,0.0,Everyone,2018-01-06,1.1.0,4.1,Origami Master: Create & Fold,4.77844,2004.0,0.0,Nurlan Ispayev,63.63636363636363,both
I Creative Idea,ART_AND_DESIGN,Art & Design,4.7,353,10000.0,4300.8,Free,0.0,Teen,2018-04-27,1.6,4.1,,,,,,46.15384615384615,google-only
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,Art & Design,3.8,564,100000.0,9420.8,Free,0.0,Everyone,2018-07-11,2.1,4.1,How To Draw ⋆,4.41153,5873.0,0.0,Islambek Tanabay,100.0,both
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,Art & Design,4.7,8145,500000.0,24576.0,Free,0.0,Everyone,2018-08-02,1.0.9,4.4,Pixel Art － Color by Number,4.72058,722712.0,0.0,Easybrain Ltd,100.0,both
Floor Plan Creator,ART_AND_DESIGN,Art & Design,4.1,36639,5000000.0,,Free,0.0,Everyone,2018-07-14,Varies with device,2.3,ArcSite: Floor Plans and CAD,4.67659,6481.0,0.0,Arctuition LLC,62.22222222222222,both
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,Art & Design,4.7,158,10000.0,11264.0,Free,0.0,Everyone,2017-11-29,1.3,4.0,PIP Camera Photo Collage Maker,5.0,1.0,0.0,Bhavik Savaliya,100.0,both
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,Art & Design,4.0,591,500000.0,9625.6,Free,0.0,Everyone,2018-03-31,1,4.0,Disney Coloring World,4.38418,205060.0,0.0,StoryToys Limited,83.33333333333333,both
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,Art & Design,4.2,117,10000.0,15360.0,Free,0.0,Everyone,2018-07-20,2.0.1,4.0,Fashion City 2,4.65599,6933.0,0.0,nanobitsoftware.com,66.66666666666666,both
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,Art & Design,4.5,176,100000.0,10240.0,Free,0.0,Everyone,2018-04-02,1.0,4.0,Photo frames collection day,4.71889,1423.0,0.0,Pablex Studio 3D,65.45454545454545,both
Textgram - write on photos,ART_AND_DESIGN,Art & Design,4.4,295221,10000000.0,,Free,0.0,Everyone,2018-07-30,Varies with device,,Add Text: Write On Photos,4.74713,62804.0,0.0,Appostrophe AB,83.33333333333333,both
Paint Splash!,ART_AND_DESIGN,Art & Design,3.8,2206,100000.0,1228.8,Free,0.0,Everyone,2018-04-15,1.46,4.1,Color Splash and Photo Editor,4.33406,461.0,0.0,Solution Cat Limited,66.66666666666666,both
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,Art & Design,4.2,26,10000.0,12288.0,Free,0.0,Everyone,2018-01-03,1.0.0,4.1,Popsicle Sticks Unlimited,4.61582,177.0,9.99,Neil Daly,75.0,both
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,Art & Design,4.7,174531,10000000.0,24576.0,Free,0.0,Everyone,2018-07-31,1.6.1,4.1,Poster Maker - Crea,4.82219,8605.0,0.0,Salix Dijital Pazarlama Anonim Sirketi,82.75862068965517,both
Install images with music to make video without Net - 2018,ART_AND_DESIGN,Art & Design,4.6,1070,100000.0,26624.0,Free,0.0,Everyone,2017-11-14,1.6,4.1,Add Music to Video Editor,4.59554,52030.0,0.0,Add Music to Video Maker & Editor LLC,71.7948717948718,both
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,Art & Design,4.2,85,100000.0,8192.0,Free,0.0,Everyone,2017-12-17,2.0.0,4.1,,,,,,38.59649122807018,google-only
How To Draw Food,ART_AND_DESIGN,Art & Design,4.3,845,100000.0,8089.6,Free,0.0,Everyone,2018-05-28,1.0,2.3,How To Draw ⋆,4.41153,5873.0,0.0,Islambek Tanabay,100.0,both
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,Auto & Vehicles,4.2,367,100000.0,25600.0,Free,0.0,Everyone,2018-05-10,1.0,4.0,"Monster Truck - 4x4,Stunt,Race",4.45632,7120.0,0.0,ACE GAMES STUDIO,82.6086956521739,both
Real Tractor Farming,AUTO_AND_VEHICLES,Auto & Vehicles,4.0,1598,1000000.0,57344.0,Free,0.0,Everyone,2018-07-26,11.0,4.1,Real Tractor Farming Game,4.4897,2430.0,0.0,Muhammad Hussain,100.0,both
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,Auto & Vehicles,3.8,284,100000.0,58368.0,Free,0.0,Everyone,2018-07-26,3.0,4.1,Rebel Racing,4.75136,209846.0,0.0,Hutch Games Ltd,66.66666666666666,both
Used Cars and Trucks for Sale,AUTO_AND_VEHICLES,Auto & Vehicles,4.6,17057,1000000.0,,Free,0.0,Everyone,2018-07-30,Varies with device,,CarMax: Used Cars for Sale,4.79688,395407.0,0.0,CarMax,83.72093023255815,both
American Muscle Car Race,AUTO_AND_VEHICLES,Auto & Vehicles,3.9,129,100000.0,35840.0,Free,0.0,Everyone,2018-07-26,3.0,4.1,American Muscle Car Racing,0.0,0.0,0.0,Alperen Karagoz,92.0,both
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,Auto & Vehicles,4.3,542,100000.0,33792.0,Free,0.0,Everyone,2018-07-31,4.0,4.1,Truck Driver Power - Truck GPS,4.67255,1304.0,0.0,Rock Gate Capital LLC,70.58823529411765,both
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,Auto & Vehicles,4.9,10479,100000.0,33792.0,Free,0.0,Everyone,2018-07-18,1.7.1,4.0,,,,,,45.16129032258065,google-only
Gas Prices (Germany only),AUTO_AND_VEHICLES,Auto & Vehicles,4.4,805,50000.0,5734.4,Free,0.0,Everyone,2018-07-29,2.5.1,4.4,Gas Prices Near You,4.31372,5575.0,0.0,从育 鲁,71.42857142857143,both
Extreme Rally Championship,AUTO_AND_VEHICLES,Auto & Vehicles,4.2,129,100000.0,55296.0,Free,0.0,Everyone,2018-07-26,3.0,4.1,CarX Rally,4.77542,11252.0,0.0,CarX Technologies,66.66666666666666,both
Restart Navigator,AUTO_AND_VEHICLES,Auto & Vehicles,4.0,1403,100000.0,201.0,Free,0.0,Everyone,2014-08-26,1.0.1,2.2,ArcGIS Navigator,2.66667,18.0,0.0,ESRI,72.72727272727272,both
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,Auto & Vehicles,3.9,3971,100000.0,3686.4,Free,0.0,Everyone,2018-07-30,2.493,4.4,,,,,,50.0,google-only
CityBus Lviv,AUTO_AND_VEHICLES,Auto & Vehicles,4.6,534,10000.0,5836.8,Free,0.0,Everyone,2018-07-08,1.9.1,4.0,,,,,,50.0,google-only
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,Auto & Vehicles,4.9,7774,100000.0,17408.0,Free,0.0,Everyone,2018-07-03,1.7,4.2,CDL Permit: Practice Test 2025,4.74735,17828.0,0.0,Mapola LTD,81.35593220338983,both
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,Auto & Vehicles,4.3,38846,1000000.0,8806.4,Free,0.0,Everyone,2018-07-28,2.20 Build 02,4.1,,,,,,53.84615384615385,google-only
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,Auto & Vehicles,4.6,2431,100000.0,2457.6,Free,0.0,Everyone,2018-06-12,1.37,4.0,VIN Report for Used Cars,4.69086,1805.0,0.0,iSeeCars.com,100.0,both
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,Auto & Vehicles,4.9,6090,100000.0,27648.0,Free,0.0,Everyone,2018-07-03,1.7,4.2,DMV Permit Practice Test Genie,4.76898,175433.0,0.0,Elegant eLearning,88.88888888888889,both
Check Vehicle Tax,AUTO_AND_VEHICLES,Auto & Vehicles,3.9,295,10000.0,2764.8,Free,0.0,Everyone,2018-07-30,0.2.1,4.4,Vehicle Check - Car Tax Check,4.78946,19.0,0.0,Click Digital Development Limited,100.0,both
Used Cars Mexico,AUTO_AND_VEHICLES,Auto & Vehicles,4.0,190,50000.0,2560.0,Free,0.0,Everyone,2016-10-14,1.0,2.3,Cars.com - New & Used Cars,4.82978,582833.0,0.0,Cars.com,72.72727272727272,both
Ulysse Speedometer,AUTO_AND_VEHICLES,Auto & Vehicles,4.3,40211,5000000.0,,Free,0.0,Everyone,2018-07-30,Varies with device,,Speedometer ⋙,4.44085,13651.0,0.0,UniCom Technology,100.0,both
REPUVE,AUTO_AND_VEHICLES,Auto & Vehicles,3.9,356,100000.0,,Free,0.0,Everyone,2018-05-25,Varies with device,,,,,,,30.76923076923077,google-only
Used cars for sale - Trovit,AUTO_AND_VEHICLES,Auto & Vehicles,4.2,52530,5000000.0,7168.0,Free,0.0,Everyone,2018-07-16,4.47.3,4.0,CarMax: Used Cars for Sale,4.79688,395407.0,0.0,CarMax,83.72093023255815,both
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,Auto & Vehicles,4.8,116986,5000000.0,35840.0,Free,0.0,Everyone,2018-08-02,1.9.7,4.0,,,,,,33.9622641509434,google-only
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,Auto & Vehicles,3.6,1379,500000.0,16384.0,Free,0.0,Everyone,2018-08-02,2.2.21,4.2,Cars.com - New & Used Cars,4.82978,582833.0,0.0,Cars.com,69.23076923076923,both
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,Auto & Vehicles,4.2,271920,10000000.0,16384.0,Free,0.0,Teen,2018-07-11,Varies with device,5.0,,,,,,53.333333333333336,google-only
PDD-UA,AUTO_AND_VEHICLES,Auto & Vehicles,4.8,736,100000.0,,Free,0.0,Everyone,2018-07-29,2.9,2.3,,,,,,8.695652173913047,google-only
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,Auto & Vehicles,4.8,7021,500000.0,17408.0,Free,0.0,Everyone,2018-07-27,1.79,4.0,,,,,,53.84615384615385,google-only
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,Auto & Vehicles,4.6,197,50000.0,3481.6,Free,0.0,Everyone,2018-06-14,1.3,4.0,HD Wallpapers and Backgrounds.,4.49796,13822.0,0.0,Europosit,94.54545454545455,both
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,Auto & Vehicles,4.5,737,100000.0,9113.6,Free,0.0,Everyone,2018-06-08,2.3.5.1,4.1,Police Siren Lights Pro,4.62085,13686.0,0.0,Ichiban Mobile,79.24528301886792,both
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,Auto & Vehicles,4.3,3574,1000000.0,3993.6,Free,0.0,Everyone 10+,2018-07-04,1.6,4.0,Police Detector - speed radar,4.23139,1249.0,0.0,Ildar Murtazin,100.0,both
Best Car Wallpapers,AUTO_AND_VEHICLES,Auto & Vehicles,4.5,994,100000.0,2969.6,Free,0.0,Everyone,2018-03-27,1.6,4.1,Best Car Wallpapers - All Cars,4.775,40.0,0.0,ismail gunay,100.0,both
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,Auto & Vehicles,4.9,197136,1000000.0,38912.0,Free,0.0,Everyone,2018-07-15,8.31,4.1,,,,,,51.851851851851855,google-only
Pick Your Part Garage,AUTO_AND_VEHICLES,Auto & Vehicles,3.9,142,50000.0,32768.0,Free,0.0,Everyone,2018-07-24,1.1.5.0,6.0,PYP Garage,1.41304,138.0,0.0,LKQ,75.0,both
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,Auto & Vehicles,4.4,15168,1000000.0,37888.0,Free,0.0,Everyone,2018-07-27,10.0.2,4.2,PakWheels: Buy & Sell Cars,4.5,794.0,0.0,PakWheels Private Limited,100.0,both
Supervision service,AUTO_AND_VEHICLES,Auto & Vehicles,4.0,2155,500000.0,15360.0,Free,0.0,Everyone,2018-07-30,1.10.3,5.0,Tyler Supervision,5.0,2.0,0.0,"Tyler Technologies, Inc",78.57142857142857,both
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,Auto & Vehicles,4.3,138,100000.0,5529.6,Free,0.0,Everyone,2018-07-23,1.0,4.0,,,,,,55.55555555555556,google-only
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,Auto & Vehicles,3.7,5414,1000000.0,18432.0,Free,0.0,Everyone,2018-07-23,3.20.1,4.4,,,,,,53.84615384615385,google-only
CarMax – Cars for Sale: Search Used Car Inventory,AUTO_AND_VEHICLES,Auto & Vehicles,4.4,21777,1000000.0,,Free,0.0,Everyone,2018-08-04,Varies with device,,CarMax: Used Cars for Sale,4.79688,395407.0,0.0,CarMax,100.0,both
BEST CAR SOUNDS,AUTO_AND_VEHICLES,Auto & Vehicles,4.3,348,100000.0,38912.0,Free,0.0,Everyone,2018-07-29,1.0.3,2.3,CAR SOUNDS!!,4.73034,1476.0,0.0,Viacheslav Fonderkin,100.0,both
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,Auto & Vehicles,3.2,250,100000.0,1126.4,Free,0.0,Everyone,2018-04-27,1.4,4.0,,,,,,59.25925925925926,google-only
AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,Auto & Vehicles,4.6,13372,1000000.0,,Free,0.0,Everyone,2018-08-03,Varies with device,,AutoScout24: Buy & sell cars,4.77058,22295.0,0.0,AutoScout24 GmbH,61.111111111111114,both
Zona Azul Digital Fácil SP CET - OFFICIAL São Paulo,AUTO_AND_VEHICLES,Auto & Vehicles,4.6,7880,100000.0,,Free,0.0,Everyone,2018-05-10,4.6.5,,São Paulo Metro - Official,1.5,8.0,0.0,Companhia do Metropolitano de São Paulo - Metrô,85.71428571428571,both
SMS Park,AUTO_AND_VEHICLES,Auto & Vehicles,4.5,3617,100000.0,8089.6,Free,0.0,Everyone,2018-05-16,2.8.2,4.1,Park Smarter,4.5221,11783.0,0.0,IPS Group Inc,70.0,both
SKencar,AUTO_AND_VEHICLES,Auto & Vehicles,3.7,4806,1000000.0,35840.0,Free,0.0,Everyone,2018-07-31,4.0.3,4.0,,,,,,20.58823529411765,google-only
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,Auto & Vehicles,4.6,65786,1000000.0,,Free,0.0,Everyone,2018-08-02,Varies with device,4.0,,,,,,40.0,google-only
auto fines,AUTO_AND_VEHICLES,Auto & Vehicles,4.6,31433,1000000.0,17408.0,Free,0.0,Everyone,2018-08-02,1.40,4.0,Fines SA,1.0,1.0,0.0,Fines SA (PTY) LTD,77.77777777777777,both
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,Auto & Vehicles,4.6,5097,1000000.0,19456.0,Free,0.0,Everyone,2018-07-23,1.5.18,4.0,,,,,,45.97701149425287,google-only
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,Auto & Vehicles,4.0,1754,500000.0,14336.0,Free,0.0,Everyone,2018-06-02,2.3.4,4.0,Passport Parking,4.73869,97102.0,0.0,"Passport Labs, Inc.",60.869565217391305,both
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,Auto & Vehicles,4.4,2680,500000.0,2252.8,Free,0.0,Everyone,2018-03-20,1.03,4.0,,,,,,18.51851851851852,google-only
Gas Station,AUTO_AND_VEHICLES,Auto & Vehicles,4.0,1288,100000.0,4608.0,Free,0.0,Everyone,2018-04-21,2.17,4.0,Gas Prices-Gas Station Finder,0.0,0.0,0.0,楠 江,100.0,both
Hush - Beauty for Everyone,BEAUTY,Beauty,4.7,18900,500000.0,17408.0,Free,0.0,Everyone,2018-08-02,6.10.1,5.0,,,,,,50.0,google-only
"ipsy: Makeup, Beauty, and Tips",BEAUTY,Beauty,4.9,49790,1000000.0,14336.0,Free,0.0,Everyone,2017-11-09,2.3.0,4.1,Prêt à Makeup,4.4177,37734.0,0.0,Prêt-à-Template,70.58823529411765,both
Natural recipes for your beauty,BEAUTY,Beauty,4.7,1150,100000.0,10035.2,Free,0.0,Everyone,2018-05-15,4.0,4.1,,,,,,60.0,google-only
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,Beauty,3.9,1739,500000.0,21504.0,Free,0.0,Everyone,2018-07-12,1.0.6,4.0,BeautyPlus-Selfie Photo Editor,4.81991,337757.0,0.0,PIXOCIAL TECHNOLOGY (SINGAPORE) PTE. LTD.,77.55102040816327,both
Mirror - Zoom & Exposure -,BEAUTY,Beauty,3.9,32090,1000000.0,,Free,0.0,Everyone,2016-10-24,Varies with device,,Mirror ◎,4.61385,187882.0,0.0,AppForge Inc.,100.0,both
Beauty Selfie Camera,BEAUTY,Beauty,4.2,2225,500000.0,53248.0,Free,0.0,Everyone,2018-02-28,1.6,4.1,YouCam Perfect: Beauty Camera,4.77416,114340.0,0.0,PERFECT MOBILE CORP.,78.78787878787878,both
Hairstyles step by step,BEAUTY,Beauty,4.6,4369,100000.0,14336.0,Free,0.0,Everyone,2018-07-25,1.9,4.0,,,,,,32.55813953488372,google-only
Filters for Selfie,BEAUTY,Beauty,4.3,8572,1000000.0,25600.0,Free,0.0,Everyone,2018-05-10,1.1.0,4.0,,,,,,58.53658536585366,google-only
Tie - Always be happy,BEAUTY,Beauty,4.7,964,50000.0,9216.0,Free,0.0,Everyone,2018-06-21,4.0,4.2,,,,,,50.0,google-only
Ulta Beauty,BEAUTY,Beauty,4.7,42050,1000000.0,,Free,0.0,Everyone,2018-06-05,5.4,5.0,Ulta Beauty: Makeup & Skincare,4.87147,2009279.0,0.0,"Ulta Salon, Cosmetics & Fragrance, Inc",100.0,both
Prom MakeUp Tutorial,BEAUTY,Beauty,4.8,104,10000.0,12288.0,Free,0.0,Everyone,2018-06-26,1.3,4.0,Prêt à Makeup,4.4177,37734.0,0.0,Prêt-à-Template,70.96774193548387,both
Selfie Camera,BEAUTY,Beauty,4.2,17934,1000000.0,,Free,0.0,Everyone,2017-09-12,Varies with device,,Selfie Camera Free,5.0,1.0,0.0,"Quantis,Inc.",100.0,both
Sweet Selfie Beauty Camera,BEAUTY,Beauty,4.3,601,100000.0,35840.0,Free,0.0,Everyone,2018-06-02,2.0.0,4.0,Sweet Face Camera: Selfie Edit,4.43098,32837.0,0.0,鼎 王,84.44444444444444,both
Colors of white in Urdu,BEAUTY,Beauty,4.5,36,10000.0,6860.8,Free,0.0,Everyone,2018-07-26,6.0,4.0,,,,,,52.0,google-only
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,Beauty,4.1,187,50000.0,30720.0,Free,0.0,Teen,2018-07-24,3.0.1,4.0,Camera360-Selfie Editor,4.665,14451.0,0.0,灏 徐,72.22222222222223,both
Wrinkles and rejuvenation,BEAUTY,Beauty,,182,100000.0,5836.8,Free,0.0,Everyone 10+,2017-09-20,8.0,3.0,,,,,,16.0,google-only
Eyes Makeup Beauty Tips,BEAUTY,Beauty,4.2,30,10000.0,2969.6,Free,0.0,Everyone,2018-04-09,3.3.9,4.0,Ulta Beauty: Makeup & Skincare,4.87147,2009279.0,0.0,"Ulta Salon, Cosmetics & Fragrance, Inc",72.22222222222223,both
Photo Editor 2018,BEAUTY,Beauty,4.5,134,10000.0,17408.0,Free,0.0,Everyone,2018-03-01,1.20,4.0,,,,,,50.0,google-only
Step By Step Eyes Makeup Tutorial,BEAUTY,Beauty,4.4,74,10000.0,2969.6,Free,0.0,Everyone,2018-04-05,2.3.09,4.0,Prêt à Makeup,4.4177,37734.0,0.0,Prêt-à-Template,70.58823529411765,both
Beauty Camera - Selfie Camera,BEAUTY,Beauty,4.0,113715,10000000.0,,Free,0.0,Everyone,2017-08-03,Varies with device,,YouCam Perfect: Beauty Camera,4.77416,114340.0,0.0,PERFECT MOBILE CORP.,78.78787878787878,both
Girls Hairstyles,BEAUTY,Beauty,4.1,3595,500000.0,,Free,0.0,Everyone,2018-05-24,Varies with device,4.0,Girls Hairstyles - Cute Hairstyles for Girls,3.84615,26.0,0.0,Dao Duy Quang,100.0,both
